ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
ALR000042754,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,12/16/2015,,80000,,
ALR000042838,AL,1,AL115,WARNING LETTER,S  ,08/24/2007,,,,
ALR000043067,AL,1,HQ120,WRITTEN INFORMAL ,S  ,08/17/2007,,,,
ALR000043075,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/04/2011,,,,
ALR000043356,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/07/2018,,,,
ALR000043422,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
ALR000043745,AL,1,AL115,WARNING LETTER,S  ,12/10/2008,,,,
ALR000043992,AL,1,AL115,WARNING LETTER,S  ,06/12/2009,,,,
ALR000044123,AL,1,AL115,WARNING LETTER,S  ,03/13/2008,,,,
ALR000044388,AL,1,AL115,WARNING LETTER,S  ,09/29/2016,,,,
ALR000044453,AL,1,HQ120,WRITTEN INFORMAL ,S  ,08/31/2011,,,,
ALR000044545,AL,1,AL115,WARNING LETTER,S  ,06/29/2010,,,,
ALR000044552,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
ALR000044826,AL,1,AL115,WARNING LETTER,S  ,04/22/2009,,,,
ALR000045070,AL,1,AL115,WARNING LETTER,S  ,11/15/2008,,,,
ALR000045294,AL,1,HQ120,WRITTEN INFORMAL ,S  ,03/16/2009,,,,
ALR000045609,AL,1,AL115,WARNING LETTER,S  ,02/17/2009,,,,
ALR000046185,AL,1,AL115,WARNING LETTER,S  ,10/19/2009,,,,
ALR000046516,AL,1,AL115,WARNING LETTER,S  ,01/30/2017,,,,
ALR000046847,AL,1,AL115,WARNING LETTER,S  ,12/07/2009,,,,
ALR000047407,AL,1,AL115,WARNING LETTER,S  ,05/25/2010,,,,
ALR000047415,AL,1,AL115,WARNING LETTER,S  ,10/31/2012,,,,
ALR000047654,AL,1,AL115,WARNING LETTER,S  ,07/21/2010,,,,
ALR000048629,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
ALR000048686,AL,1,AL115,WARNING LETTER,S  ,02/14/2011,,,,
ALR000049064,AL,1,AL115,WARNING LETTER,S  ,02/03/2017,,,,
ALR000049239,AL,1,AL115,WARNING LETTER,S  ,06/15/2011,,,,
ALR000049718,AL,1,HQ110,VERBAL INFORMAL,S  ,09/21/2011,,,,
ALR000049866,AL,1,HQ120,WRITTEN INFORMAL ,E  ,09/14/2017,,,,
ALR000049940,AL,1,AL115,WARNING LETTER,S  ,11/16/2011,,,,
ALR000050708,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/21/2011,,,,
ALR000050989,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/20/2016,,,,
ALR000051334,AL,1,AL115,WARNING LETTER,S  ,05/17/2012,,,,
ALR000051441,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
ALR000051490,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/09/2013,,20000,,
ALR000051771,AL,1,AL115,WARNING LETTER,S  ,03/17/2017,,,,
ALR000052332,AL,1,AL115,WARNING LETTER,S  ,03/01/2017,,,,
ALR000052415,AL,1,AL115,WARNING LETTER,S  ,08/02/2012,,,,
ALR000052423,AL,1,AL115,WARNING LETTER,S  ,07/17/2012,,,,
ALR000052456,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/11/2014,,,,
ALR000052712,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/10/2014,,,,
ALR000053165,AL,1,AL115,WARNING LETTER,S  ,06/16/2014,,,,
ALR000053983,AL,1,AL115,WARNING LETTER,S  ,12/10/2014,,,,
ALR000054023,AL,1,AL115,WARNING LETTER,S  ,02/22/2013,,,,
ALR000054437,AL,1,AL115,WARNING LETTER,S  ,06/07/2013,,,,
ALR000056093,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/27/2015,,,,
ALR000056929,AL,1,AL115,WARNING LETTER,S  ,02/11/2016,,,,
ALR000057174,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/15/2015,,47625,,
ALR000057372,AL,1,HQ120,WRITTEN INFORMAL ,E  ,05/12/2016,,,,
ALR000058081,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,06/17/2016,,,,
ALR000058180,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/11/2016,,,,
ALR000058180,AL,1,HQ120,WRITTEN INFORMAL ,E  ,07/21/2016,,,,
ALR000058271,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/12/2016,,,,
ALR000059337,AL,1,AL115,WARNING LETTER,S  ,10/14/2015,,,,
ALR000059758,AL,1,AL115,WARNING LETTER,S  ,03/07/2016,,,,
ALR000060566,AL,1,AL115,WARNING LETTER,S  ,08/04/2016,,,,
ALR000060756,AL,1,AL115,WARNING LETTER,S  ,08/03/2016,,,,
ALR000064303,AL,1,AL115,WARNING LETTER,S  ,03/14/2019,,,,
AL0000095414,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/02/1996,,,,
AL0000107748,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,01/30/1995,,5000,,
AL0000200873,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/17/1995,,,,
AL0000266569,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,06/20/2017,,,,
AL0000266569,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/10/1995,,,,
AL0000384651,AL,1,HQ120,WRITTEN INFORMAL ,S  ,03/31/2008,,,,
AL0000629469,AL,1,HQ120,WRITTEN INFORMAL ,S  ,05/08/2001,,,,
AL0000870840,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/05/1997,,,,
AL0000879387,AL,1,AL115,WARNING LETTER,S  ,03/10/2009,,,,
AL0000998013,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/29/1995,,15000,,
AL0000998013,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/16/1999,,,,
AL0001002286,AL,1,AL115,WARNING LETTER,S  ,07/28/2008,,,,
AL0001005776,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/28/1994,,,,
AL0570024182,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/17/2014,,19125,,
AL0570024182,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/25/1995,,,,
AL0570024182,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/10/1996,,,,
AL0640090007,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/28/1994,,,,
AL1800013863,AL,1,AL115,WARNING LETTER,S  ,08/28/2013,,,,
AL1800013863,AL,1,AL115,WARNING LETTER,S  ,08/11/2014,,,,
AL1800013863,AL,22,HQ120,WRITTEN INFORMAL ,E  ,07/14/1989,,,,
AL1800013863,AL,JLB,HQ820,EPA TO STATE ADMINISTRATIVE REFERRAL,E  ,05/27/1998,,,,
AL2640090005,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/30/2000,,,,
AL2640090005,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/27/1994,,,,
AL2690320435,AL,6,HQ120,WRITTEN INFORMAL ,S  ,04/11/1989,,,,
AL3151932131,AL,1,AL115,WARNING LETTER,S  ,09/08/2008,,,,
AL3210020027,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/03/2001,,,,
AL3210020027,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/09/2002,,,,
AL3210020027,AL,1,HQ210,INITIAL 3008(A) COMPLIANCE ,S  ,03/12/2004,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,08/26/2004,,,,
AL3210020027,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/13/2005,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,11/14/2007,,,,
AL3210020027,AL,1,AL115,WARNING LETTER,S  ,06/04/2009,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/16/2009,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/12/2010,,,,
AL3210020027,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/15/2013,,82950,,
AL3210020027,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,11/11/2016,,,,
AL3210020027,AL,1,HQ120,WRITTEN INFORMAL ,S  ,03/13/2017,,,,
AL3210020027,AL,3,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/13/2005,,,,
AL3210020027,AL,6,HQ120,WRITTEN INFORMAL ,S  ,12/18/1986,,,,
AL3210020027,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/07/1985,,,,
AL3210020027,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/07/1992,,,,
AL3210020027,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/11/1999,,,,
AL3640090004,AL,1,AL115,WARNING LETTER,S  ,04/06/2018,,,,
AL3690307910,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/02/2004,,,,
AL4210020562,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/23/2000,,,,
AL4210020562,AL,3,HQ120,WRITTEN INFORMAL ,S  ,11/23/1988,,,,
AL4210020562,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/10/1990,,,,
AL4210020562,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/14/1999,,,,
AL6210020776,AL,1,HQ120,WRITTEN INFORMAL ,S  ,03/06/2001,,,,
AL6210020776,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/13/2007,,,,
AL6210020776,AL,1,AL115,WARNING LETTER,S  ,02/21/2012,,,,
AL6210020776,AL,1,AL115,WARNING LETTER,S  ,08/30/2013,,,,
AL6210020776,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/07/1993,,,,
AL7210020742,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,04/21/2005,,,,
AL7210020742,AL,1,AL115,WARNING LETTER,S  ,08/13/2012,,,,
AL7210020742,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/06/1992,,,,
AL7210020742,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/01/1995,,,,
AL8360010344,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/17/2003,,,,
AL9210090040,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/16/2005,,,,
AL9210090040,AL,1,AL115,WARNING LETTER,S  ,02/21/2012,,,,
ALD000608216,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/30/1998,,,,
ALD000608216,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,01/08/1999,20000,,,
ALD000608216,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,02/18/1999,,20000,,
ALD000608224,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/26/1995,,,,
ALD000615583,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/29/2005,,,,
ALD000622464,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,06/27/2002,,7500,,
ALD000622464,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,05/17/2010,,,,
ALD000622464,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/23/2015,,,,
ALD000622464,AL,7,HQ120,WRITTEN INFORMAL ,E  ,09/27/1985,,,,
ALD000622464,AL,21,HQ120,WRITTEN INFORMAL ,E  ,05/20/1987,,,,
ALD000622464,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/26/1996,100000,,,
ALD000622464,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/16/1996,,,,
ALD000622464,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/21/1999,,,,
ALD000645416,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/17/1987,,,,
ALD000652677,AL,1,HQ120,WRITTEN INFORMAL ,S  ,12/20/1987,,,,
ALD000653303,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/23/1991,,,,
ALD000653303,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,03/23/1992,40000,40000,,
ALD000653329,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/15/1996,,,,
ALD000737288,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/04/1996,,,,
ALD000737304,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/20/1998,,,,
ALD000771949,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/03/1990,,,,
ALD000771949,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/07/1999,,,,
ALD000772301,AL,3,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,08/01/1985,9500,9500,,
ALD000773432,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/13/1985,,,,
ALD000823179,AL,1,HQ120,WRITTEN INFORMAL ,E  ,11/30/2011,,,,
ALD000823344,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/16/1992,,,,
ALD000826958,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/24/2005,,,,
ALD000826958,AL,1,AL115,WARNING LETTER,S  ,06/12/2013,,,,
ALD000826958,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/15/1996,,,,
ALD000827147,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/17/1996,,,,
ALD000827154,AL,0,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,09/15/1995,95678,,,
ALD000827154,AL,0,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,09/28/1995,,95678,,
ALD000827154,AL,4,HQ120,WRITTEN INFORMAL ,E  ,08/17/1984,,,,
ALD000827154,AL,8,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,03/20/1986,,,,
ALD000827154,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/10/1991,,,,
ALD000827154,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/01/1993,,,,
ALD000827352,AL,3,HQ120,WRITTEN INFORMAL ,S  ,03/29/1989,,,,
ALD000827352,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/14/1999,,,,
ALD001221902,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/02/2005,,,,
ALD001221902,AL,10,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,04/19/1985,1000,1000,,
ALD001221902,AL,12,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,12/23/1986,5750,5750,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/22/1988,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/18/1990,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/23/1992,,,,
ALD001221902,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/20/1997,,,,
ALD002166338,AL,2,HQ120,WRITTEN INFORMAL ,S  ,04/11/1989,,,,
ALD002904506,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,08/06/1987,,,,
ALD002904506,AL,1,AL115,WARNING LETTER,S  ,02/05/2009,,,,
ALD002904506,AL,5,HQ120,WRITTEN INFORMAL ,S  ,08/01/1987,,,,
ALD002904506,AL,10,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,08/01/1986,,,,
ALD002904506,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/30/1987,,,,
ALD002904506,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/02/1993,,,,
ALD002904506,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/04/1997,,,,
ALD002982858,AL,1,AL115,WARNING LETTER,S  ,12/20/2011,,,,
ALD002985554,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/24/2003,,,,
ALD003326444,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/19/2000,,,,
ALD003395043,AL,3,HQ120,WRITTEN INFORMAL ,S  ,03/25/1987,,,,
ALD003395969,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,11/17/1992,,,,
ALD003396637,AL,6,HQ120,WRITTEN INFORMAL ,S  ,07/25/1990,,,,
ALD003396983,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,04/07/2010,,,,
ALD003396983,AL,1,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,08/03/2010,,8500,,
ALD003397288,AL,1,HQ120,WRITTEN INFORMAL ,S  ,06/26/1989,,,,
ALD003397288,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/29/1991,,,,
ALD003397288,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/18/1992,,,,
ALD003397569,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/27/1993,,,,
ALD003398377,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/08/1986,,,,
ALD003398575,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/17/2012,,,,
ALD004000683,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/14/1999,,,,
ALD004000790,AL,1,AL115,WARNING LETTER,S  ,09/27/2016,,,,
ALD004000790,AL,5,HQ210,INITIAL 3008(A) COMPLIANCE ,E  ,12/29/1987,220000,220000,,
ALD004001715,AL,1,HQ120,WRITTEN INFORMAL ,S  ,04/12/2000,,,,
ALD004001715,AL,1,HQ110,VERBAL INFORMAL,S  ,04/13/2000,,,,
ALD004001715,AL,1,HQ110,VERBAL INFORMAL,S  ,05/12/2000,,,,
ALD004001715,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/28/2000,,,,
ALD004002077,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/26/1998,,,,
ALD004002333,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/04/2004,,,,
ALD004002655,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/14/1995,,,,
ALD004003620,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/10/1998,,,,
ALD004009320,AL,1,HQ120,WRITTEN INFORMAL ,S  ,01/16/1990,,,,
ALD004009320,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/21/2003,,,,
ALD004009320,AL,1,AL115,WARNING LETTER,S  ,01/05/2013,,,,
ALD004009320,AL,3,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,07/19/1985,,,,
ALD004009320,AL,APT,HQ820,EPA TO STATE ADMINISTRATIVE REFERRAL,E  ,03/03/1999,,,,
ALD004009320,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/16/1995,,,,
ALD004009403,AL,1,AL115,WARNING LETTER,S  ,11/22/2010,,,,
ALD004009403,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,06/25/1991,,,,
ALD004009403,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/04/1991,25000,,,
ALD004009403,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/26/1992,,,,
ALD004009403,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,03/31/1993,25000,54331,,
ALD004009403,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/11/1993,,,,
ALD004009403,AL,SFQ,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/03/1994,150000,150000,,
ALD004010120,AL,1,HQ120,WRITTEN INFORMAL ,S  ,10/26/2011,,,,
ALD004010120,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,01/29/1991,,,,
ALD004010120,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/07/1992,,,,
ALD004011342,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,03/24/1994,,,,
ALD004012050,AL,1,AL115,WARNING LETTER,S  ,10/07/2015,,,,
ALD004014973,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/04/2001,,,,
ALD004014973,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/29/1996,,,,
ALD004014973,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/20/1996,,,,
ALD004014973,AL,SFQ,AL213,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/19/1999,80000,,,
ALD004015822,AL,2,HQ120,WRITTEN INFORMAL ,S  ,04/06/1988,,,,
ALD004015822,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/14/1997,,,,
ALD004015822,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/08/1997,,,,
ALD004017497,AL,SFQ,HQ110,VERBAL INFORMAL,S  ,06/11/1992,,,,
ALD004017869,AL,1,AL115,WARNING LETTER,S  ,09/11/2012,,,,
ALD004017869,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/28/1992,,,,
ALD004017869,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/30/1993,,,,
ALD004017901,AL,0,HQ120,WRITTEN INFORMAL ,E  ,10/28/1985,,,,
ALD004017901,AL,1,AL115,WARNING LETTER,S  ,09/05/2017,,,,
ALD004017901,AL,6,HQ120,WRITTEN INFORMAL ,S  ,08/20/1987,,,,
ALD004017901,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/24/1993,,,,
ALD004017901,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/27/1994,,,,
ALD004017901,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/01/1995,,,,
ALD004017968,AL,1,HQ120,WRITTEN INFORMAL ,S  ,09/12/1989,,,,
ALD004018354,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/13/1995,,,,
ALD004019048,AL,1,HQ820,EPA TO STATE ADMINISTRATIVE REFERRAL,E  ,07/12/2018,,,,
ALD004019048,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/14/1999,,,,
ALD004019485,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,10/28/1993,,,,
ALD004020210,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/09/1996,,,,
ALD004020855,AL,1,HQ140,LETTER OF INTENT TO INITIATE ENFORCEMENT ACTION,S  ,05/07/2010,,,,
ALD004020855,AL,7,HQ120,WRITTEN INFORMAL ,S  ,12/07/1990,,,,
ALD004021218,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/10/1996,,,,
ALD004022448,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/25/1991,,,,
ALD004022448,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/23/1993,,,,
ALD004023180,AL,1,AL115,WARNING LETTER,S  ,11/21/2007,,,,
ALD004023180,AL,1,AL115,WARNING LETTER,S  ,01/11/2010,,,,
ALD004023180,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,02/04/1997,,,,
ALD004023180,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/15/1997,,,,
ALD004023180,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/25/1999,,,,
ALD004025235,AL,SFQ,AL313,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,08/26/1992,,,,
ALD004027579,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/29/1996,,,,
ALD004028148,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/27/1998,,,,
ALD004029294,AL,1,AL115,WARNING LETTER,S  ,12/10/2008,,,,
ALD005346432,AL,4,HQ120,WRITTEN INFORMAL ,S  ,12/18/1989,,,,
ALD006320774,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/12/1998,,,,
ALD006900526,AL,1,AL115,WARNING LETTER,S  ,11/12/2013,,,,
ALD006900526,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,04/15/1991,,,,
ALD006901250,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/12/1999,,,,
ALD008150617,AL,6,HQ120,WRITTEN INFORMAL ,S  ,11/08/1988,,,,
ALD008161176,AL,9,HQ120,WRITTEN INFORMAL ,S  ,10/09/1987,,,,
ALD008161176,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,07/17/1996,,,,
ALD008161416,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/02/1991,,,,
ALD008161416,AL,SFQ,AL213,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/20/1999,,,,
ALD008161861,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/15/1996,,,,
ALD008162950,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/25/1997,,,,
ALD008163115,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,03/25/1997,,,,
ALD008163115,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/30/1998,,,,
ALD008163388,AL,1,HQ120,WRITTEN INFORMAL ,S  ,02/13/2001,,,,
ALD008163388,AL,1,AL115,WARNING LETTER,S  ,10/10/2012,,,,
ALD008163388,AL,5,HQ120,WRITTEN INFORMAL ,S  ,10/13/1987,,,,
ALD008163388,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,09/21/1992,,,,
ALD008163388,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,10/31/1994,,,,
ALD008163388,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/27/1998,,,,
ALD008173981,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,11/12/2004,,,,
ALD008180572,AL,1,HQ120,WRITTEN INFORMAL ,S  ,07/22/2009,,,,
ALD008180572,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,12/04/1995,,,,
ALD008188708,AL,0,HQ220,INITIAL IMMINENT AND SUBSTANTIAL ENDANGERMENT ORDER,E  ,07/26/1996,,,,
ALD008188708,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,07/21/2003,,,,
ALD008188708,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,09/08/2003,,,,
ALD009825944,AL,1,AL115,WARNING LETTER,S  ,10/05/2016,,,,
ALD009825944,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,02/07/1997,,,,
ALD010394021,AL,1,HQ120,WRITTEN INFORMAL ,S  ,12/15/1987,,,,
ALD010394021,AL,1,AL125,UNDEFINED TO HQ ON V3 DEPLOYMENT,S  ,05/12/2006,,,,
ALD010394021,AL,1,HQ120,WRITTEN INFORMAL ,S  ,12/30/2010,,,,
ALD010394021,AL,1,AL115,WARNING LETTER,S  ,11/30/2011,,,,
ALD010394021,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,05/28/1993,,,,
ALD010394021,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,06/27/1996,,,,
ALD012726642,AL,SFQ,HQ120,WRITTEN INFORMAL ,S  ,08/16/1993,,,,
